run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,34,measured,model-only,modelonly-model-only-0034,READY,MODEL_ONLY,7734132836500,,,7734132837500,7734135875900,,,,,,,3.0384,,,,0.001,,,3.0384,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,35,measured,model-only,modelonly-model-only-0035,READY,MODEL_ONLY,7734135901400,,,7734135902000,7734138879300,,,,,,,2.9773,,,,0.0006,,,2.9773,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,36,measured,model-only,modelonly-model-only-0036,READY,MODEL_ONLY,7734138910500,,,7734138911700,7734142200600,,,,,,,3.2889,,,,0.0012,,,3.2889,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,37,measured,model-only,modelonly-model-only-0037,READY,MODEL_ONLY,7734142228300,,,7734142229200,7734145362700,,,,,,,3.1335,,,,0.0009,,,3.1335,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,38,measured,model-only,modelonly-model-only-0038,READY,MODEL_ONLY,7734145388400,,,7734145389400,7734148474100,,,,,,,3.0847,,,,0.001,,,3.0847,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,39,measured,model-only,modelonly-model-only-0039,READY,MODEL_ONLY,7734148498400,,,7734148499300,7734151667400,,,,,,,3.1681,,,,0.0009,,,3.1681,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,40,measured,model-only,modelonly-model-only-0040,READY,MODEL_ONLY,7734151691400,,,7734151692300,7734154702500,,,,,,,3.0102,,,,0.0009,,,3.0102,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,41,measured,model-only,modelonly-model-only-0041,READY,MODEL_ONLY,7734154747900,,,7734154749000,7734158022400,,,,,,,3.2734,,,,0.0011,,,3.2734,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,42,measured,model-only,modelonly-model-only-0042,READY,MODEL_ONLY,7734158048400,,,7734158049000,7734160981500,,,,,,,2.9325,,,,0.0006,,,2.9325,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
b3-20260918T100755Z-35051d77,43,measured,model-only,modelonly-model-only-0043,READY,MODEL_ONLY,7734161012900,,,7734161014100,7734164170200,,,,,,,3.1561,,,,0.0012,,,3.1561,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508639+00:00
